name,r,r_dc,r_units,gmr,gmr_units,radius,radius_units,normal_amps,emergency_amps
750a,0.0888,0.08705882352941177,mi,0.0319,ft,0.4985,in,602,903
500a,0.206,0.2019607843137255,mi,0.026,ft,0.4065,in,483,724.5
1/0a,0.97,0.9509803921568627,mi,0.0111,ft,0.184,in,202,303
340a,0.305,0.2990196078431372,mi,0.021,ft,0.333,in,410,615
